Stn_Name,Tm,Tx,Tn,S,P,CDD,Year,Month
LAKE COWICHAN,13.3,28.5,2.0,0.0,49.2,0.5,2025,May
DISCOVERY ISLAND,12.0,20.1,7.5,,,0.0,2025,May
ESQUIMALT HARBOUR,12.3,23.6,6.5,,25.2,0.0,2025,May
MALAHAT,12.0,25.8,3.5,,46.4,1.8,2025,May
METCHOSIN,,,,0.0,39.8,,2025,May
NORTH COWICHAN,,,,0.0,43.8,,2025,May
NORTH COWICHAN,13.0,28.3,1.9,,38.5,0.1,2025,May
NORTH PENDER ISLAND,13.5,23.5,5.0,0.0,35.8,0.0,2025,May
RACE ROCKS,11.2,19.3,6.9,,,0.0,2025,May
SAANICHTON CFIA,12.7,24.9,4.8,,35.8,1.5,2025,May
SAANICHTON MT NEWTON,,,,0.0,42.4,,2025,May
SATURNA CAPMON CS,12.2,24.8,4.7,,19.9,1.0,2025,May
SATURNA ISLAND CS,13.3,23.7,7.5,,35.0,0.5,2025,May
SHERINGHAM POINT,10.8,18.1,6.1,,43.2,0.0,2025,May
VICTORIA UNIVERSITY CS,12.3,21.5,3.7,,26.0,0.0,2025,May
VICTORIA GONZALES CS,12.4,22.8,6.7,,30.2,0.0,2025,May
VICTORIA INTL A,13.0,27.6,3.8,0.0,41.4,1.2,2025,May
VICTORIA HARBOUR A,12.2,22.4,6.3,,,0.0,2025,May
BALLENAS ISLAND,13.2,23.6,8.2,,43.2,0.0,2025,May
CAMPBELL RIVER A,11.3,24.5,-0.5,0.0,45.4,0.0,2025,May
CAMPBELL RIVER A,11.1,24.3,-0.5,,,0.0,2025,May
CAPE MUDGE,12.3,22.0,-3.0,0.0,69.0,0.0,2025,May
COMOX A,12.8,24.2,3.9,0.0,56.4,0.0,2025,May
COURTENAY GRANTHAM,12.5,25.0,2.5,0.0,57.0,0.0,2025,May
ENTRANCE ISLAND,13.6,26.6,8.6,,34.0,2.3,2025,May
FANNY ISLAND,11.3,22.2,6.1,,60.8,0.0,2025,May
NANAIMO A,13.0,28.9,2.3,,,1.4,2025,May
NANAIMO CITY YARD,,,,0.0,51.4,,2025,May
PORT HARDY A,10.1,21.1,1.0,0.0,78.9,0.0,2025,May
PORT HARDY AIRPORT,10.2,21.0,1.9,,89.1,0.0,2025,May
QUALICUM BEACH AIRPORT,12.4,25.3,2.4,,35.1,0.0,2025,May
QUINSAM RIVER HATCHERY,12.1,23.0,1.5,0.0,74.6,0.0,2025,May
SISTERS ISLAND,13.3,23.3,8.9,,,0.0,2025,May
ENTRANCE ISLAND,13.8,26.0,8.5,0.0,58.0,2.8,2025,May
ALBERNI ROBERTSON CREEK,12.8,27.5,1.0,0.0,48.0,0.0,2025,May
CAPE BEALE LIGHT,11.2,18.5,5.0,0.0,104.0,0.0,2025,May
CAPE SCOTT,10.1,17.0,5.0,0.0,274.4,0.0,2025,May
ESTEVAN POINT,11.0,16.0,4.5,0.0,181.0,0.0,2025,May
ESTEVAN POINT CS,10.6,15.4,4.3,,150.0,0.0,2025,May
LENNARD ISLAND,10.9,17.0,5.0,0.0,148.0,0.0,2025,May
NITINAT RIVER HATCHERY,11.3,23.0,0.0,0.0,136.2,0.0,2025,May
NOOTKA LIGHTSTATION,11.5,19.0,5.5,0.0,145.2,0.0,2025,May
QUATSINO,10.5,18.5,4.0,0.0,85.2,0.0,2025,May
QUATSINO LIGHTSTATION,10.7,18.0,5.0,0.0,228.0,0.0,2025,May
PORT ALBERNI (AUT),12.2,26.2,-0.1,,46.5,0.0,2025,May
SARTINE ISLAND (AUT),9.1,12.7,5.9,,210.4,0.0,2025,May
SOLANDER ISLAND (AUT),9.5,13.8,6.2,,180.2,0.0,2025,May
TAHSIS VILLAGE NORTH,11.5,22.0,3.0,,92.2,0.0,2025,May
TOFINO A,10.6,17.8,2.3,,,0.0,2025,May
UCLUELET KENNEDY CAMP,11.3,20.0,2.0,0.0,158.8,0.0,2025,May
ZEBALLOS MURAUDE CREEK,10.8,22.0,1.0,0.0,226.4,0.0,2025,May
BOWEN ISLAND SUNSET PARK,,,,0.0,67.0,,2025,May
GIBSONS GOWER POINT,13.3,25.5,6.0,0.0,83.0,1.0,2025,May
MERRY ISLAND LIGHTSTATION,14.0,23.0,8.0,0.0,47.6,0.0,2025,May
HOWE SOUND - PAM ROCKS,14.1,22.6,8.0,,61.8,1.2,2025,May
PENDER HARBOUR,,,,0.0,68.0,,2025,May
PORT MELLON,13.4,30.1,4.2,,75.8,3.2,2025,May
POWELL RIVER A,11.7,26.5,1.5,0.0,95.8,0.0,2025,May
POWELL RIVER,11.7,26.7,1.9,,94.5,0.0,2025,May
POWELL RIVER A,11.6,26.7,1.4,,,0.0,2025,May
SECHELT AUT,12.7,26.7,3.6,,58.1,0.1,2025,May
SQUAMISH AIRPORT,13.6,29.8,1.7,,69.7,2.7,2025,May
CAPE ST JAMES,9.1,13.7,5.0,,,0.0,2025,May
KINDAKUN ROCKS (AUT),9.3,12.5,6.6,,157.6,0.0,2025,May
LANGARA,8.6,14.5,4.0,0.0,199.2,0.0,2025,May
LANGARA ISLAND RCS,8.7,13.6,4.2,,106.1,0.0,2025,May
MASSET A,8.8,15.9,-0.7,,,0.0,2025,May
ROSE SPIT (AUT),9.5,15.4,-0.3,,205.7,0.0,2025,May
SANDSPIT AIRPORT AUTO,9.4,16.9,2.1,,70.6,0.0,2025,May
SANDSPIT,9.5,17.4,2.4,,82.4,0.0,2025,May
ADDENBROKE ISLAND,11.1,20.0,5.0,0.0,291.4,0.0,2025,May
BELLA BELLA,10.1,20.7,2.1,,288.0,0.0,2025,May
BELLA COOLA AIRPORT,11.7,23.7,2.1,,40.0,0.0,2025,May
BELLA COOLA A,11.7,23.8,1.9,,,0.0,2025,May
BOAT BLUFF,10.0,21.5,5.0,0.0,570.0,0.0,2025,May
BONILLA ISLAND,9.9,14.0,6.0,0.0,333.4,0.0,2025,May
BONILLA ISLAND (AUT),9.3,12.6,6.4,,167.6,0.0,2025,May
CATHEDRAL POINT (AUT),10.7,19.8,5.4,,249.2,0.0,2025,May
CUMSHEWA ISLAND,9.5,16.1,4.9,,47.8,0.0,2025,May
DRYAD POINT,10.6,20.0,5.0,0.0,258.0,0.0,2025,May
EGG ISLAND,10.4,20.0,5.5,0.0,239.2,0.0,2025,May
GREEN ISLAND,9.9,16.5,5.0,0.0,338.8,0.0,2025,May
GREY ISLET (AUT),9.7,15.7,5.9,,246.4,0.0,2025,May
HERBERT ISLAND (AUT),10.4,18.3,6.1,,103.4,0.0,2025,May
HOLLAND ROCK,9.3,13.3,5.4,,185.2,0.0,2025,May
IVORY ISLAND,10.6,17.5,5.5,0.0,299.8,0.0,2025,May
KEMANO,10.5,23.5,2.0,0.0,117.6,0.0,2025,May
KITIMAT FOREST AVE,9.7,21.8,2.9,,167.1,0.0,2025,May
LUCY ISLAND LIGHTSTATION,9.1,13.0,5.5,,,0.0,2025,May
MCINNES ISLAND,10.2,15.0,6.0,0.0,275.0,0.0,2025,May
PRINCE RUPERT,9.3,14.6,2.8,,289.2,0.0,2025,May
PRINCE RUPERT MONT CIRC,,,,0.0,243.2,,2025,May
STEWART A,10.2,20.8,3.4,,,0.0,2025,May
TERRACE PCC,11.0,23.0,3.0,0.0,47.6,0.0,2025,May
TERRACE A,9.7,21.6,1.7,0.0,83.4,0.0,2025,May
HOUSTON,11.1,27.0,0.0,0.0,1.2,0.0,2025,May
SMITHERS,9.2,25.4,-2.5,,11.1,0.0,2025,May
SMITHERS AIRPORT AUTO,9.4,25.2,-1.2,,11.0,0.0,2025,May
SUSKWA VALLEY,9.1,25.0,-3.0,0.0,26.6,0.0,2025,May
OOTSA LAKESKINS LAKE CLIMATE,7.2,22.8,-1.3,,22.7,0.0,2025,May
PEMBERTON AIRPORT (WIND),13.5,32.7,1.3,,,1.6,2025,May
PEMBERTON AIRPORT CS,14.0,34.2,1.6,,33.4,2.5,2025,May
PUNTZI MOUNTAIN (AUT),8.3,28.2,-5.3,,17.1,0.0,2025,May
TATLAYOKO LAKE RCS,8.2,27.0,-5.6,,23.8,0.0,2025,May
BARKERVILLE,6.7,28.0,-8.0,6.0,77.0,0.0,2025,May
BURNS LAKE DECKER LAKE,7.3,25.1,-6.7,,38.1,0.0,2025,May
FORT ST JAMES AUTO,10.0,26.3,-1.6,,22.4,0.0,2025,May
FORT ST JAMES GOLF CLUB,9.6,27.6,-1.4,,25.7,0.0,2025,May
MCLEESE LAKE GRANITE MT,11.1,27.0,-3.0,0.0,13.6,0.0,2025,May
PRINCE GEORGE,9.8,29.3,-3.5,,48.7,0.0,2025,May
PRINCE GEORGE AIRPORT AUTO,9.8,29.2,-2.9,,46.2,0.0,2025,May
PRINCE GEORGE MASSEY AUTO,12.0,30.5,0.3,,29.3,2.4,2025,May
QUESNEL,11.2,31.8,-3.8,,47.9,0.9,2025,May
QUESNEL AIRPORT AUTO,11.3,31.9,-3.7,,46.1,1.0,2025,May
SPOKIN LAKE 4E,8.6,28.5,-7.0,0.0,64.8,0.0,2025,May
WILLIAMS LAKE A,10.5,28.7,-1.9,0.0,58.8,0.7,2025,May
ABBOTSFORD A,13.3,28.6,3.5,0.0,74.4,1.4,2025,May
ABBOTSFORD A,13.3,28.6,3.5,,,1.4,2025,May
AGASSIZ RCS,13.9,30.5,4.1,,56.7,4.6,2025,May
WHISTLER - NESTERS,10.5,29.0,-1.4,,35.7,0.0,2025,May
VANCOUVER BOUNDARY BAY,13.0,27.0,3.2,,,0.1,2025,May
CALLAGHAN VALLEY,8.7,26.2,-2.1,,41.1,0.0,2025,May
CHILLIWACK SOUTH,14.8,32.0,4.5,0.0,60.8,5.3,2025,May
CLOVERDALE EAST,14.1,28.5,4.5,0.0,71.4,2.0,2025,May
CULTUS LAKE,13.6,31.3,3.8,,74.0,4.4,2025,May
DELTA BURNS BOG,13.2,28.5,2.8,,49.9,0.6,2025,May
DELTA TSAWWASSEN BEACH,14.7,25.0,9.0,0.0,73.0,3.5,2025,May
FORT LANGLEY TELEGRAPH TRAIL,13.8,29.5,4.0,0.0,71.6,2.5,2025,May
HANEY UBC RF ADMIN,13.2,29.5,4.0,0.0,104.4,2.0,2025,May
LANGLEY REGIONAL,13.1,29.3,1.7,,,0.9,2025,May
MISSION WEST ABBEY,13.5,29.5,5.0,0.0,90.4,4.8,2025,May
N VANC GROUSE MTN RESORT,7.3,22.0,0.0,0.0,125.4,0.3,2025,May
N VANCOUVER WHARVES,,,,0.0,73.0,,2025,May
PITT MEADOWS CS,14.3,29.8,4.7,,71.1,2.9,2025,May
PITT MEADOWS,13.6,29.6,2.4,,,1.8,2025,May
POINT ATKINSON,13.8,24.6,7.5,,60.5,1.3,2025,May
RICHMOND DALLYN 2,,,,0.0,66.0,,2025,May
PORT MOODY GLENAYRE,13.9,29.0,5.5,0.0,122.0,3.8,2025,May
SANDHEADS CS,13.3,22.0,8.8,,,0.2,2025,May
SUMAS CANAL,14.8,31.0,6.5,0.0,81.0,2.5,2025,May
VANCOUVER SEA ISLAND CCG,13.5,27.4,5.9,,44.8,2.0,2025,May
VANCOUVER INTL A,13.5,27.9,5.2,0.0,57.4,1.3,2025,May
VANCOUVER HARBOUR CS,14.3,28.4,5.7,,60.2,2.1,2025,May
WEST VANCOUVER AUT,13.5,29.2,5.2,,96.2,3.6,2025,May
WHISTLER ROUNDHOUSE,3.3,14.5,-3.0,18.0,84.0,0.0,2025,May
WHITE ROCK CAMPBELL SCIENTIFIC,13.3,26.1,5.6,,54.2,0.7,2025,May
VANCOUVER HARBOUR,13.9,28.8,6.2,,,3.8,2025,May
HOPE A,14.1,30.9,5.1,,89.5,4.0,2025,May
HOPE AIRPORT,13.9,30.5,5.2,,85.0,3.8,2025,May
HOPE SLIDE,10.5,30.0,0.0,0.0,44.4,1.0,2025,May
LILLOOET,15.6,29.0,4.1,,18.8,4.2,2025,May
LYTTON A,16.2,35.2,5.3,,2.6,19.9,2025,May
LYTTON RCS,16.5,29.2,5.2,,2.6,15.0,2025,May
JELLICOE,11.2,31.5,-3.0,0.0,23.8,0.8,2025,May
KELOWNA,13.6,31.5,-2.5,,31.2,4.6,2025,May
KELOWNA UBCO,14.9,31.7,1.5,,26.2,10.0,2025,May
MERRITT,12.8,34.0,-4.1,,11.4,3.1,2025,May
MERRITT STP,12.3,27.0,-2.5,0.0,0.8,0.0,2025,May
OLIVER STP,16.9,32.5,2.5,0.0,10.0,13.2,2025,May
OSOYOOS CS,16.3,31.5,1.6,,12.2,22.3,2025,May
PEACHLAND,15.5,30.5,4.0,0.0,24.0,15.2,2025,May
PENTICTON A,14.5,30.7,0.7,0.0,57.5,8.0,2025,May
PRINCETON A,12.7,33.5,-3.5,0.0,11.6,2.6,2025,May
PRINCETON A,12.5,33.6,-3.4,,,2.3,2025,May
VERNON AUTO,14.4,30.6,1.4,,29.6,9.0,2025,May
VERNON SILVER STAR LODGE,7.7,24.5,-2.0,0.6,82.4,0.5,2025,May
PRINCETON CS,12.7,34.3,-3.0,,10.6,2.8,2025,May
SUMMERLAND CS,14.7,31.1,2.4,,22.9,8.9,2025,May
BILLINGS,13.8,31.5,1.0,0.0,62.0,5.1,2025,May
CASTLEGAR A,14.1,33.0,-1.0,0.0,37.6,10.4,2025,May
CASTLEGAR BCHPA DAM,13.9,32.0,3.5,0.0,58.4,2.5,2025,May
CASTLEGAR A,14.1,33.1,-1.1,,,9.1,2025,May
DUNCAN LAKE DAM,12.6,30.0,-1.0,0.0,36.2,1.1,2025,May
LISTER,13.1,32.0,-0.5,0.0,41.0,5.6,2025,May
NAKUSP CS,12.7,30.3,-0.6,,63.9,2.9,2025,May
NEW DENVER,14.1,32.0,0.5,0.0,46.2,7.0,2025,May
NELSON CS,14.0,30.7,1.5,,38.3,4.8,2025,May
WARFIELD RCS,13.6,31.4,0.3,,43.8,4.9,2025,May
CRESTON CAMPBELL SCIENTIFIC,15.2,32.6,3.0,,23.8,15.4,2025,May
NELSON RIXEN CREEK,13.1,30.0,-0.5,0.0,55.0,4.6,2025,May
CRANBROOK A,12.2,30.5,-1.0,0.0,0.0,4.4,2025,May
CRANBROOK AIRPORT AUTO,12.1,31.5,-1.8,,25.7,5.5,2025,May
FERNIE,12.5,31.0,-2.0,0.0,61.4,1.3,2025,May
FT STEELE DANDY CRK,11.5,29.5,-2.0,0.0,58.0,0.8,2025,May
KIMBERLEY PCC,12.1,29.0,-2.5,0.0,27.6,3.8,2025,May
SPARWOOD CS,10.9,28.5,-2.8,,17.2,0.0,2025,May
SPARWOOD A,11.3,28.4,-3.0,,,0.0,2025,May
ASHCROFT,16.8,35.9,3.4,,25.6,25.1,2025,May
BLUE RIVER A,11.2,29.0,-4.0,0.0,101.2,0.0,2025,May
BLUE RIVER A,11.0,29.2,-4.2,,,0.0,2025,May
BLUE RIVER CS,10.8,26.5,-4.3,,55.1,0.0,2025,May
CLEARWATER AUTO,13.0,29.6,-1.0,,39.5,1.4,2025,May
CLINTON A,8.5,28.2,-6.1,,30.7,0.0,2025,May
CLINTON RCS,10.0,29.0,-3.1,,9.4,0.2,2025,May
KAMLOOPS A,15.9,35.9,0.1,0.0,13.2,22.6,2025,May
KAMLOOPS AUT,15.7,34.6,0.3,,10.9,18.1,2025,May
RED LAKE,10.1,28.0,-1.0,0.0,44.0,1.0,2025,May
VAVENBY,13.6,33.5,-2.0,0.0,30.6,7.6,2025,May
KAMLOOPS PRATT ROAD,13.7,32.0,0.5,0.0,39.2,7.8,2025,May
SALMON ARM CS,13.8,31.2,-0.4,,42.7,3.4,2025,May
GOLDEN A,12.2,30.5,-1.5,0.0,38.4,1.3,2025,May
GOLDEN A,12.1,30.6,-2.2,,,1.2,2025,May
GOLDEN AIRPORT,12.2,30.3,-2.1,,34.0,1.2,2025,May
MICA DAM,12.6,23.0,0.0,0.0,85.0,0.0,2025,May
REVELSTOKE A,13.1,29.6,-1.1,,54.3,0.6,2025,May
REVELSTOKE AIRPORT AUTO,13.5,29.6,0.0,,47.4,1.8,2025,May
YOHO PARK,7.8,27.3,-5.4,,67.4,0.0,2025,May
CHETWYND A,10.8,30.5,-2.5,0.0,12.0,0.0,2025,May
CHETWYND A,10.8,30.6,-2.4,,,0.0,2025,May
DAWSON CREEK A,11.6,31.9,-3.7,,0.0,2.3,2025,May
FORT ST. JOHN A,12.1,31.2,-1.3,0.0,16.8,2.2,2025,May
FORT ST JOHN AIRPORT,12.2,30.4,-2.1,,9.9,2.2,2025,May
MACKENZIE,9.8,29.1,-3.0,,24.0,0.3,2025,May
MACKENZIE AIRPORT AUTO,10.2,29.4,-2.7,,32.8,0.8,2025,May
DEASE LAKE A,6.6,19.6,-4.1,,0.0,0.0,2025,May
FORT NELSON A,11.8,30.6,-2.5,0.0,5.8,1.3,2025,May
FORT NELSON,12.3,31.2,-0.4,,7.1,2.2,2025,May
DEASE LAKE (AUT),6.4,19.7,-5.3,,12.3,0.0,2025,May
BEAVER CREEK A,6.1,16.1,-7.6,,,0.0,2025,May
BURWASH A,5.2,15.5,-9.6,,37.0,0.0,2025,May
BURWASH AIRPORT AUTO,5.2,15.2,-9.4,,46.7,0.0,2025,May
CARMACKS CS,7.2,19.6,-6.0,,24.4,0.0,2025,May
DAWSON CITY A,8.0,20.0,-5.7,,,0.0,2025,May
FARO (AUT),7.3,16.8,-4.8,,8.6,0.0,2025,May
FARO A,7.3,16.6,-4.8,,,0.0,2025,May
HAINES JUNCTION,4.9,15.0,-7.1,,,0.0,2025,May
HERSCHEL ISLAND,-6.6,1.8,-18.6,,5.1,0.0,2025,May
IVVAVIK NAT. PARK,-1.2,15.7,-19.3,,10.7,0.0,2025,May
MACMILLAN PASS,2.3,11.5,-7.9,,,0.0,2025,May
MARGARET LAKE,-0.8,15.5,-19.2,,8.3,0.0,2025,May
MAYO A,7.8,18.8,-2.3,0.0,37.6,0.0,2025,May
MAYO A,7.7,18.8,-2.3,,,0.0,2025,May
OLD CROW RCS,1.8,18.2,-13.0,,4.7,0.0,2025,May
OLD CROW A,1.4,18.5,-13.8,,,0.0,2025,May
OTTER FALLS NCPC,5.9,15.0,-4.0,0.0,17.6,0.0,2025,May
PELLY RANCH FORT SELKIRK,8.0,19.4,-4.2,,11.3,0.0,2025,May
ROCK RIVER,-0.8,13.9,-12.6,,0.0,0.0,2025,May
DAWSON,7.8,18.9,-5.6,,26.0,0.0,2025,May
TESLIN (AUT),6.0,16.6,-4.5,,16.3,0.0,2025,May
TESLIN A,6.1,16.9,-4.3,,,0.0,2025,May
WATSON LAKE A,7.7,20.9,-3.8,,,0.0,2025,May
WATSON LAKE A,7.8,20.9,-3.8,,,0.0,2025,May
WATSON LAKE (AUT),7.8,16.6,-4.0,,38.2,0.0,2025,May
WHITEHORSE A,7.0,16.2,-3.6,,,0.0,2025,May
WHITEHORSE AUTO,6.8,15.6,-3.7,,11.6,0.0,2025,May
AKLAVIK A,-2.3,13.3,-18.7,,,0.0,2025,May
COLVILLE LAKE,-0.3,14.8,-17.3,,,0.0,2025,May
COLVILLE LAKE A,0.1,20.3,-18.3,,9.5,0.0,2025,May
DELINE CS,2.2,23.5,-21.6,,35.0,0.0,2025,May
DELINE A,2.0,23.1,-20.5,,,0.0,2025,May
DEADMEN VALLEY,9.1,22.5,-5.5,,44.2,0.0,2025,May
FORT GOOD HOPE A,3.6,22.5,-15.8,,,0.0,2025,May
FORT GOOD HOPE CS,3.4,21.2,-15.5,,23.4,0.0,2025,May
FORT LIARD,11.3,24.7,-4.7,,14.3,1.2,2025,May
FORT LIARD A,11.6,30.0,-4.3,,,1.4,2025,May
FORT MCPHERSON A,0.0,14.8,-13.5,,,0.0,2025,May
TULITA A,5.8,24.2,-10.2,,,0.0,2025,May
FORT PROVIDENCE,10.5,32.6,-8.0,,,5.8,2025,May
